Name,A,B,C,D,Signal
1,0.6452782973826356,0.7328561188717564,0.6442160152811148,0.5204028580832962,B
2,0.10133471570673401,0.8891617489259788,0.7905228848162887,0.5439656328624184,C
3,0.9939563896357422,0.9900524986380351,0.8865272044535055,0.5683139304324433,B
4,0.7619374667643015,0.9390337864818775,0.9599827117428115,0.5941362342174555,C
5,0.6076715061727123,0.7833533404851143,0.9869532478418696,0.6208152548415272,C
6,0.838251307360214,0.5693967675870751,0.9615773516628056,0.6476290752429888,A
7,0.3918652368553372,0.31900946243188794,0.9035073202305474,0.6744738896161108,D
8,0.6081075859559975,0.1315494564653642,0.7997173984807502,0.6996034560764027,A
9,0.18478545498018106,0.014866877976337524,0.6804281678159932,0.7235638095093396,D
10,0.1633728710556984,0.026959771705276605,0.5416994824059874,0.7449348086155269,D
11,0.018100200043505967,0.1488738867279079,0.4037903613256963,0.7642726018379915,D
12,0.4911280039314985,0.37399448454810164,0.26762157899468975,0.7809109089171065,B
13,0.6736617522282718,0.6225650555645165,0.15635293705890915,0.797034158450217,B
14,0.6984944340476126,0.8400736233210876,0.0760010892143793,0.8131421298004717,B
15,0.06843524082067494,0.9580845220222931,0.039256119270159935,0.8294470472741051,B
16,0.0,0.9827762257337823,0.026116949480314792,0.8452634489008243,B
17,0.31920601774844964,0.8986093520410184,0.057404804703328836,0.8659086212849938,B
18,0.6994416499974777,0.7216548845694837,0.11764879837506666,0.8847464133056441,B
19,0.6004587896341554,0.4801529119803748,0.21610883824539714,0.9038087228770846,B
20,0.9047438624968481,0.2595058198575896,0.3328432257010315,0.9212911502054281,A
21,0.8436837585535653,0.09202209233930281,0.4699972993145498,0.9374288556199611,A
22,0.46616623998056195,0.01922492031572121,0.6159820347634539,0.9515114639740169,D
23,0.037471001942351125,0.06270955210116484,0.7545619920785532,0.963279108607175,D
24,0.7546645395230926,0.24702893460743952,0.8557294677610393,0.9704135580618813,A
25,0.8187137977707997,0.4754086991569711,0.935071126174776,0.9763059923459416,A
26,0.3125785418670602,0.6950976312189144,0.9825614654568194,0.980992619682656,C
27,0.974113400167185,0.9018942119140099,0.967089039726802,0.9841206804735568,B
28,0.8535361038988206,0.9902170260697002,0.9168991692200529,0.9875093320080368,B
29,0.9411997137594005,0.9681678918298399,0.8212408772273377,0.9908271777249845,B
30,0.0929491402635954,0.8068578695497819,0.7054877265861592,0.9946567084086182,C
31,0.363467813413549,0.6034643246392432,0.5521876188595672,0.9977938266260791,B
32,0.48667116377322933,0.3710841905641479,0.3944965217893265,0.9998920099930679,B
33,0.7386621947309978,0.17679640663888124,0.24402540362875833,0.9999199922239036,A
34,0.10037456992616606,0.03819886471701866,0.13015396582528124,1.0,D
35,0.8845377561904917,0.058717088734591846,0.030347437122347266,0.9931044101610038,A
36,0.9176728823079502,0.1677581636217785,0.0,0.9856064228881993,A
37,0.2659921968410258,0.34615507131514534,1.8613256886433667e-13,0.9787452357121983,B
38,0.34954428892900796,0.5869497781862723,0.044508124532503426,0.9680370806851102,B
39,0.4439015194613474,0.8088590917841355,0.12969187743759672,0.9567420007427117,B
40,0.46857131115616696,0.9559109666268106,0.2456523806388658,0.9455823545230922,B
41,0.687710847008405,1.0,0.37725699485246145,0.9348097821060325,B
42,0.6757836465868613,0.9183221307469491,0.5182933461244124,0.9247135396740875,B
43,0.7392702290381383,0.739651919215244,0.6523127402127218,0.9147841016532391,B
44,0.5818418949344352,0.49853428390380083,0.7728894271251259,0.9046273637043772,A
45,0.43212154673051456,0.2592924285944003,0.867754781831042,0.8932895342030784,D
46,0.894263078446508,0.09771932994715457,0.9210171299570822,0.8792377631171999,A
47,1.726284039119638e-6,2.236648627181093e-16,0.9527092171096786,0.8596312587909017,D
48,0.45041073502733053,0.05421421382386571,0.9377347429472379,0.8450182627777839,D
49,0.13485171783746286,0.1976312247247364,0.8913960575322928,0.8240238356610003,D
50,0.6088042654959024,0.4366693926422104,0.7996324508268599,0.8003214802080008,A
51,0.12686971533804386,0.6625191861254651,0.6945737567175685,0.7761063227777317,C
52,0.5804110906351857,0.8750855834077093,0.5566789609567401,0.7512553110153007,B
53,0.06192491961877745,0.9671167349465233,0.42398579204986114,0.7270318394033022,B
54,0.8415679622939536,0.9827936894037744,0.2759771639450283,0.7037996815674082,B
55,0.34564312475072484,0.8451995546713855,0.16162121929571183,0.6820423096513172,B
56,0.48041592093280705,0.6432197678692774,0.06532932720092538,0.6607947156607635,B
57,0.15112642558554723,0.3937057925512416,0.012679473364095792,0.6401868832182509,B
58,0.22365587995539743,0.18204553496061923,0.0,0.6188682580689477,B
59,0.30593374738296353,0.04931240965349257,0.030365710901947146,0.5963031163131444,A
60,0.41878546608959905,0.027870859692605193,0.1065332902684547,0.5720594612823123,A
61,0.37221577509491566,0.11746150145893532,0.22290054693702643,0.5468972850703137,A
62,0.2514734007315145,0.29860758481290045,0.36729604891443346,0.5203932996140102,B
63,0.19274517561759236,0.529481022376389,0.5236604474564708,0.4931018436836499,C
64,0.6047683250548724,0.7648730494067378,0.6704232913169392,0.46583899842159976,B
65,0.18996165718263122,0.9098948014745503,0.8116255096220013,0.43962227749082805,C
66,0.9180454092041878,0.9853949855145001,0.904741978350281,0.41458059767162847,B
67,0.35600956998738864,0.9038217372906023,0.9766276211025475,0.391362270674798,C
68,0.011077278367297841,0.7263749060584879,1.0,0.36938294133439464,C
69,0.5972470435425481,0.515435723130744,0.9617248808388856,0.3481417055465322,C
70,0.8074461894596895,0.2872842572076179,0.8875751483101644,0.32700072235010763,A
71,0.9984198842339677,0.11037609684725677,0.779555809730612,0.30524738249409616,A
72,0.6614772549208984,0.014418814707887997,0.6567689126193368,0.2829848644743571,A
73,0.04329377770706217,0.027008244739723047,0.5272089738550454,0.26017567167342426,D
74,0.6760080172470835,0.18908862010641342,0.3789732353805411,0.23527881416719865,A
75,0.27443002262071237,0.3958289875792423,0.25936669447018795,0.21102677677672602,B
76,0.715515949809354,0.6510196223711855,0.14913296227270467,0.18667130049315023,B
77,2.2615728249056223e-12,0.8344297725909768,0.09094131443351046,0.16427018311097427,B
78,1.0,0.9854915597178385,0.03162753291898235,0.14348085942503344,B
79,0.8671475513146327,0.9859579653516691,0.03259636984308608,0.12578411028884237,B
80,0.23677960625401115,0.8549241935139945,0.07865640153639679,0.11092574625666925,B
81,0.5136764127355317,0.6616577935652691,0.14638481217447993,0.09809325618027114,B
82,0.8808860620857412,0.4306157373597218,0.24261499539767384,0.08664911390697243,A
83,0.8057805156788733,0.20486270713805588,0.368400468231456,0.0765409218990303,A
84,0.8728239394546505,0.0559970719662099,0.5052192028023516,0.06646565038979341,A
85,0.44506837032119967,0.001258199552106253,0.6526603641364883,0.056505928934749615,A
86,0.05345406322291363,0.06514319647352398,0.7892483380114225,0.04591405618026509,C
87,0.2949764714731216,0.24843732989998907,0.8928366080994042,0.0347797736565858,C
88,0.03684362435152102,0.47252374218504484,0.9715651931493638,0.023644410248474145,C
89,0.6248559934830349,0.7210580437613515,0.9947240065339507,0.013804476950551675,C
90,0.04571100355734705,0.8764987684474256,0.9891269345686806,2.6076743567633356e-7,C
91,0.376239897549251,0.9596881890077489,0.9258818624910348,4.656382086834063e-13,C
92,0.6581064001946241,0.9234682491007432,0.8198746960085054,1.6322703945791384e-14,C
93,0.1457312546690261,0.7570738842702049,0.6958336086344378,3.205760006385285e-16,C
94,0.8262038370329531,0.557181101556081,0.5328140363907647,5.441709075827393e-13,A
95,0.07272106866627241,0.300094814157674,0.39001375758728885,3.205760006385285e-16,C
96,0.0821077334669787,0.1091327288638844,0.24591556060654352,0.0019934599567398743,C
97,0.12977283037120868,0.010126791808056626,0.12701409039126552,0.005386380785386467,A
98,0.5535687511081515,0.03767519519744073,0.03859939231623967,0.007605156968953299,A
99,0.11636713854452614,0.15260134086562666,0.009891161114217839,0.012118265798815017,B
100,0.7201118678311951,0.3795238764911768,0.009349175028804913,0.01543893558747074,A
