Name,A,B,C,Signal
1,0.6739669549064464,0.7105823932409343,0.513572170336191,A
2,0.43583520028329403,0.8533460113657265,0.4102895650337052,A
3,0.9963005774225863,0.9503124949022801,0.6047019481081918,A
4,0.898674273984328,0.8983855530608592,0.5937565709037909,A
5,0.8210947548295041,0.7524376022554125,0.6072920868221272,A
6,0.9346605201693008,0.5641587867426602,0.696956899828297,C
7,0.6502153455385524,0.3205890699383776,0.6626876687415342,C
8,0.7143720549612543,0.16293914233408432,0.7388939338720731,C
9,0.41748749594671913,0.039953744769083255,0.6864661148328284,C
10,0.33436847505469086,0.0600079288478471,0.6856822338417268,C
11,0.19046547372343797,0.17534298810170787,0.6354347532543313,C
12,0.37220942801991597,0.4155410848604386,0.7233661892005672,C
13,0.4196795736537514,0.6514995323874081,0.7429202688748187,B
14,0.39621223244522935,0.8496527933474666,0.7372311147128783,B
15,0.027750005205699875,0.9649591161213633,0.576309169156256,B
16,0.0,0.9884756919192352,0.5355826186008529,B
17,0.17199248661553426,0.9004712260112512,0.6950317218104858,B
18,0.4099349303065495,0.7504635226209283,0.8116804592003819,B
19,0.39978761729788254,0.529062188006188,0.8358021320010321,B
20,0.6260772129705349,0.3384523990345632,0.9343779080015702,C
21,0.6607134608924694,0.17715842586523892,0.9616597848848392,C
22,0.5270611841102433,0.08214500116073474,0.9225702783138708,C
23,0.36864864006128995,0.08917986306283979,0.8501405967482856,C
24,0.8116664832072763,0.29584743472958763,0.9819538609905621,C
25,0.8907562887942214,0.5056879402357157,0.977369412090269,C
26,0.6353447800585231,0.6925742635465183,0.855113506199365,A
27,1.0,0.9025360115084848,0.9652523081748063,A
28,0.9075558359947157,0.9827536482814345,0.93117490796983,A
29,0.9077033343132682,0.9684717558965896,0.9479625940867337,A
30,0.3737931530928272,0.8109965985410298,0.77568997898474,B
31,0.4420584477966033,0.6285952132122307,0.8623762067406873,B
32,0.4240518943989014,0.4255687565715696,0.9111711316900165,C
33,0.4796294659943549,0.2685444068042749,0.9754308834466235,C
34,0.08168019714947998,0.10890251145589387,0.8428992435485372,B
35,0.44371607278437175,0.18244246315405221,1.0,C
36,0.4446355640852621,0.285519664729602,0.9921535352595369,C
37,0.0885452544521557,0.4135721060046633,0.8461685599712017,B
38,0.1668553483852181,0.6292788904927712,0.8259563460562981,B
39,0.2710534848619223,0.8289556503931935,0.8100211175796735,B
40,0.34944188237234886,0.9600834739113335,0.7893358906259098,B
41,0.5417080990158146,1.0,0.8256238903895228,B
42,0.6064284127983122,0.9207539914934113,0.8297244171842134,A
43,0.7083829847988344,0.7533183091807245,0.8617998076171324,A
44,0.6795259794932504,0.5201573838127115,0.8582715420647843,C
45,0.6434081723006272,0.2854862026004351,0.8562644585635778,C
46,0.926298632261754,0.15335626704629932,0.9531689393492634,C
47,0.4525443738737296,5.418229824258712e-5,0.7959563028457096,C
48,0.6897383996036892,0.08623994738711104,0.8523649924268063,C
49,0.4955605313041092,0.20632709815680578,0.7502060590772658,C
50,0.7129728880684513,0.45391964172056964,0.7860667270445477,C
51,0.39430198592775445,0.6573555621031318,0.6268732942393194,B
52,0.581686787642013,0.8628761169646051,0.6720586286329,A
53,0.22243150013871596,0.9578645414265126,0.5087476103341145,B
54,0.5922152768527821,0.967698945060309,0.6587916273717105,A
55,0.25147697840964905,0.8345546944348082,0.5524986738356713,B
56,0.2735635255814877,0.6527956667220485,0.5866663050805957,B
57,0.0587324534753251,0.41971807754213536,0.5251723677636403,B
58,0.08401734619827039,0.2313698848679817,0.5525628058236868,B
