Name,A,B,C,D,Signal
s1,0.17932775235758439,0.6019623044171357,0.015699496254450853,0.18769487075850716,B
s2,0.2017859954545964,0.006433270768587702,0.1946291975687845,1.0,D
s3,0.7995316898543008,0.00029595268202688385,0.2081458869287451,0.008758504146560559,A
s4,0.20803100904997987,0.1573828271244525,1.0,0.013713116114429397,C
s5,1.0,0.00010431265600435971,0.40638660173415153,0.21178536153222113,A
s6,1.927787197814051e-9,0.19156822193831977,0.2012761066017872,0.19718229998333986,C
s7,0.19801416420321102,0.00816914571226119,2.3938856819806264e-11,0.399473626741526,D
s8,0.16650841528686391,1.0,0.025215511499991843,0.17915903811898315,B
s9,0.9737867854100914,0.7902804874797257,0.4256453653924815,0.00014718555044397087,B
s10,0.587146555745488,0.5831098379085454,0.613947157654251,0.39963476594053615,C
